id_venda,data_venda,hora_venda,id_produto,produto,categoria,cor,tamanho,quantidade,preco_unitario,desconto,valor_total,forma_pagamento,canal,id_cliente,id_vendedor
1,2026-04-19,18:15  ,85,Acessório Premium,Acessório,Branca,M,4,190.75,0.0,763.0,PIX,Online,368.0,19
2,2026-03-18,11:00,32,Blusa Premium,Blusa,Branca,P,4,283.49,113.4,1020.56,Crediário,Online,270.0,5
3,2026-06-30,13:15,156,Acessório Casual,Acessório,Vermelha,M,4,219.44,0.0,877.76,Cartão de Débito,Online,372.0,8
4,2026-09-15,09:00,67,Blusa Slim,Blusa,Preta,GG,3,275.2,0.0,825.6,Cartão de Crédito,Online,86.0,18
5,2026-09-21,13:00,80,Acessório Casual,Acessório,Vermelha,M,3,169.78,25.47,483.87,Cartão de Débito,Física,73.0,25
6,2026-06-10,15:30,156,Acessório Casual,Acessório,Vermelha,M,2,219.44,0.0,438.88,Cartão de Crédito,Online,67.0,19
7,2026-08-21,17:30,25,Jaqueta Básica,Jaqueta,Vermelha,G,2,94.73,9.47,179.99,Cartão de Débito,Física,376.0,2
8,2026-06-26,13:15,54,Jaqueta Esporte,Jaqueta,Rosa,M,4,102.55,0.0,410.2,CARTÃO DE CRÉDITO,Física,461.0,17
9,2026-05-01,10:15,91,Jaqueta Social,Jaqueta,Rosa,M,1,211.55,10.58,200.97,Cartão de Crédito,Física,76.0,1
10,2026-04-04,18:30,8,Camiseta Slim,Camiseta,Vermelha,G,1,189.75,28.46,161.29,Cartão de Crédito,Online,138.0,17
11,2026-05-16,17:30,125,Calça Casual,Calça,Azul,G,2,90.39,0.0,180.78,PIX,Online,303.0,12
12,2026-04-20, 11:15 ,31,Camiseta Slim,Camiseta,Verde,M,3,153.72,69.17,391.99,Cartão de Débito,Física,244.0,24
13,2026-04-25,12:15,104,Jaqueta Premium,Jaqueta,Verde,P,1,187.44,0.0,187.44,Cartão de Débito,Física,315.0,19
14,2026-03-17,13:15,36,Vestido Casual,Vestido,Preta,GG,2,28.02,8.41,47.63,Dinheiro,Online,303.0,18
15,2026-06-07,10:15,109,Jaqueta Social,Jaqueta,Preta,GG,1,38.6,0.0,38.6,Cartão de Crédito,Física,111.0,5
16,2026-07-06,10:30,135,Blusa Slim,Blusa,Vermelha,M,2,306.42,30.64,582.2,Cartão de Débito,Online,249.0,7
17,2026-09-01,20:00,53,Jaqueta X,Jaqueta,Verde,M,3,291.49,87.45,787.02,PIX,Online,82402.0,19
18,2026-03-25,19:00,32,Blusa Premium,Blusa,Branca,P,3,283.49,0.0,850.47,Cartão de Débito,Física,354.0,24
19,2026-05-24,17:30,140,Jaqueta Slim,Jaqueta,Verde,G,4,207.04,82.82,745.34,Cartão de Crédito,Física,443.0,25
20,2026-09-09,10:15,17,Bermuda Social,Bermuda,Preta,P,3,90.49,27.15,244.32,Cartão de Débito,Física,424.0,21
21,2026-09-06,10:45,123,Calça Básica,Calça,Verde,G,3,173.04,0.0,519.12,Cartão de Débito,Física,139.0,18
22,2026-05-30,15:15,132,Vestido X,Vestido,Branca,P,3,282.33,0.0,846.99,PIX,Física,597.0,22
23,2026-08-23,14:15,125,Calça Casual,Calça,Azul,G,3,90.39,27.12,244.05,Cartão de Crédito,Física,51.0,19
24,2026-06-11,20:15,118,Acessório Social,Acessório,Verde,GG,4,151.68,60.67,546.05,PIX,Física,478.0,10
25,2026-06-29,13:45,35,Acessório Básica,Acessório,Cinza,P,1,145.92,0.0,145.92,Cartão de Crédito,Online,272.0,4
26,2026-09-20,12:00,60,Blusa X,Blusa,Verde,G,1,274.9,13.74,261.16,Crediário,Física,272.0,1
27,2026-09-21,16:15,106,Blusa Casual,Blusa,Branca,P,4,74.15,0.0,296.6,Dinheiro,Online,537.0,24
28,2026-05-03,09:45,143,Acessório Esporte,Acessório,Rosa,G,1,129.11,0.0,129.11,Cartão de Crédito,Online,183.0,3
29,2026-09-15,21:30,129,Camiseta Esporte,Camiseta,Rosa,GG,3,343.01,154.35,874.68,PIX,Online,535.0,22
30,2026-08-30,15:30,174,Vestido Social,Vestido,Vermelha,P,4,168.54,101.12,573.04,Cartão de Crédito,Online,555.0,1
31,2026-09-06,12:00,54,Jaqueta Esporte,Jaqueta,Rosa,M,3,102.55,0.0,307.65,Cartão de Crédito,Física,311.0,17
32,2026-07-30,11:15,132,Vestido X,Vestido,Branca,P,4,282.33,0.0,1129.32,PIX,Online,337.0,17
33,2026-09-18,16:45,57,Blusa X,Blusa,Rosa,P,3,36.77,0.0,110.31,Cartão De Débito,Física,290.0,14
34,2026-06-07,09:30,34,Acessório Básica,Acessório,Rosa,GG,2,95.07,9.51,180.63,Crediário,Física,183.0,19
35,2026-09-25,21:15,96,Camiseta Esporte,Camiseta,Azul,G,3,98.46,0.0,295.38,Crediário,Online,493.0,12
36,2026-08-25,18:15,62,Blusa X,Blusa,Verde,M,1,221.2,0.0,221.2,PIX,Física,,10
37,2026-08-12,09:00,26,Calça Premium,Calça,Azul,P,2,318.11,31.81,"R$ 604,41",PIX,Online,275.0,11
38,2026-05-13,13:45,165,Bermuda Casual,Bermuda,Branca,GG,3,90.52,13.58,257.98,PIX,Online,315.0,1
39,2026-05-08,13:00,78,Blusa Social,Blusa,Rosa,P,1,91.57,0.0,91.57,Cartão de Débito,Física,573.0,5
40,20-09-2026,17:00,140,Jaqueta Slim,Jaqueta,Verde,G,1,207.04,20.7,186.34,Cartão de Débito,Online,476.0,2
41,2026-08-12,12:00,133,Jaqueta Slim,Jaqueta,Verde,GG,2,122.97,0.0,"245,94",Cartão de Débito,Física,431.0,14
42,2026-04-27,10:15,31,Camiseta Slim,Camiseta,Verde,M,3,153.72,0.0,461.16,Cartão de Débito,Online,396.0,25
43,2026-03-15,11:45,5,Bermuda Casual,Bermuda,Preta,M,2,252.59,0.0,505.18,PIX,Física,540.0,18
44,2026-08-06,14:45,163,Calça Premium,Calça,Rosa,M,1,308.62,0.0,308.62,Crediário,Online,217.0,6
45,2026-07-27,16:30,87,Camiseta Básica,Camiseta,Branca,M,2,174.19,0.0,348.38,Dinheiro,Física,439.0,4
46,2026-05-31,18:00,55,Blusa Social,Blusa,Verde,G,3,82.32,12.35,"234,61",Crediário,Física,96283.0,20
47,2026-03-09,19:30,57,Blusa X,Blusa,Rosa,P,3,36.77,0.0,110.31,Cartão de Débito,Física,108.0,10
48,2026-04-19,12:00,73,Jaqueta Básica,Jaqueta,Preta,M,2,71.22,21.37,121.07,Cartão de Débito,Online,269.0,5
49,2026-05-30,14:45,60,Blusa X,Blusa,Verde,G,1,274.9,13.74,261.16,PIX,Online,208.0,3
50,04/03/2026,15:30,38,Acessório Básica,Acessório,Preta,M,3,180.55,0.0,541.65,Cartão de Crédito,Online,,16
51,2026-07-23,14:00,138,Vestido Casual,Vestido,Branca,GG,2,108.94,0.0,217.88,Cartão de Crédito,Online,522.0,4
52,2026-07-30,21:45,113,Acessório Slim,Acessório,Azul,GG,2,211.74,21.17,402.31,CARTÃO DE DÉBITO,Física,124.0,8
53,2026-05-12,09:45,109,Jaqueta Social,Jaqueta,Preta,GG,2,38.6,0.0,77.2,Cartão de Débito,Física,503.0,3
54,2026-09-21,20:45,123,Calça Básica,Calça,Verde,G,3,173.04,77.87,441.25,PIX,Online,238.0,15
55,2026-03-13,19:45,23,Jaqueta Esporte,Jaqueta,Vermelha,P,2,166.11,0.0,332.22,Cartão de Crédito,Física,228.0,8
56,2026-05-15,21:15,2,Blusa Casual,Blusa,Preta,GG,3,73.53,0.0,220.59,Cartão de Débito,Física,597.0,21
57,2026-09-02,19:30,22,Calça X,Calça,Vermelha,M,2,316.01,31.6,600.42,Cartão de Débito,Online,509.0,17
58,2026-07-08,10:45,20,Jaqueta Casual,Jaqueta,Preta,P,2,137.0,0.0,274.0,PIX,Física,164.0,15
59,2026-04-18,11:00,1,Vestido Casual,Vestido,Verde,P,4,315.12,189.07,1071.41,Cartão de Crédito,Online,309.0,25
60,2026-06-26,10:30,79,Blusa X,Blusa,Azul,P,4,320.08,0.0,1280.32,Cartão de Crédito,Física,281.0,14
61,2026-06-24,09:30,46,Vestido Slim,Vestido,Vermelha,G,2,74.33,0.0,148.66,Cartão de Débito,Física,543.0,1
62,2026-04-11,12:45,94,Calça X,Calça,Cinza,GG,2,281.93,56.39,507.47,PIX,Física,262.0,1
63,2026-04-08,13:30,154,Blusa X,Blusa,Azul,M,2,290.09,0.0,580.18,Dinheiro,Online,68.0,8
64,2026-04-18,19:30,25,Jaqueta Básica,Jaqueta,Vermelha,G,2,94.73,0.0,189.46,PIX,Física,161.0,8
65,2026-03-14,11:00,162,Bermuda Esporte,Bermuda,Vermelha,M,3,27.56,0.0,82.68,Cartão de Débito,Online,368.0,3
66,2026-03-20,13:45,12,Vestido Social,Vestido,Preta,P,1,206.86,31.03,"R$ 175,83",Cartão de Débito,Online,115.0,19
67,2026-04-11,17:45,166,Bermuda Básica,Bermuda,Vermelha,P,2,284.79,0.0,569.58,PIX,Online,223.0,1
68,2026-09-25,19:45,116,Bermuda Casual,Bermuda,Branca,P,0,311.15,31.12,591.18,Cartão de Crédito,Física,278.0,12
69,2026-06-08,19:30,103,Acessório Premium,Acessório,Verde,G,1,179.71,8.99,170.72,PIX,Online,44.0,5
70,2026-05-01,16:45,168,Calça Básica,Calça,Cinza,M,3,218.06,32.71,621.47,PIX,Física,518.0,18
71,2026-06-10,17:00,174,Vestido Social,Vestido,Vermelha,P,4,168.54,0.0,674.16,PIX,Física,99.0,18
72,2026-09-14,16:15,142,Acessório Básica,Acessório,Azul,P,3,160.25,0.0,480.75,Cartão de Crédito,Online,,6
73,2026-04-12,19:45,173,Vestido Social,Vestido,Azul,G,1,154.45,0.0,154.45,Cartão de Crédito,Online,121.0,13
74,2026-07-04,20:30,53,Jaqueta X,Jaqueta,Verde,M,4,291.49,58.3,1107.66,Crediário,Física,431.0,22
75,2026-05-05,19:00,178,Vestido Premium,Vestido,Preta,P,1,302.09,0.0,302.09,PIX,Online,484.0,14
76,2026-04-17,11:45,39,Jaqueta Slim,Jaqueta,Verde,M,4,247.63,148.58,841.94,Dinheiro,Online,,6
77,2026-09-09,18:00,17,Bermuda Social,Bermuda,Preta,P,3,90.49,40.72,230.75,Dinheiro,Física,399.0,6
78,2026-09-06,19:15,168,Calça Básica,Calça,Cinza,M,4,218.06,0.0,872.24,CARTÃO DE DÉBITO,Online,159.0,21
79,2026-03-26,21:45,171,Bermuda Casual,Bermuda,Preta,P,4,227.85,91.14,820.26,Cartão de Débito,Online,587.0,19
80,2026-06-15,12:15,14,Camiseta Esporte,Camiseta,Vermelha,GG,2,97.31,29.19,165.43,Cartão de Débito,Física,,20
81,2026-04-16,12:30,32,Blusa Premium,Blusa,Branca,P,2,283.49,0.0,566.98,Dinheiro,Física,111.0,11
82,2026-04-06,19:15,130,Blusa Casual,Blusa,Branca,GG,4,234.73,93.89,845.03,Cartão de Débito,Online,589.0,2
